	year	artist	track	time	date.entered	week	rank
0	2000	2Ge+her	The Hardest Part Of ...	3:15	2000-09-02	wk1	91.0
1	2000	2 Pac	Baby Don\'t Cry	4:22	2000-02-26	wk1	87.0
2	2000	3 Doors Down	Kryptonite	3:53	2000-04-08	wk1	81.0
3	2000	3 Doors Down	Loser	4:24	2000-10-21	wk1	76.0
4	2000	504 Boyz	Wobble Wobble	3:35	2000-04-15	wk1	57.0
5	2000	98?	Give Me Just One Nig...	3:24	2000-08-19	wk1	51.0
6	2000	Aaliyah	I Don\'t Wanna	4:15	2000-01-29	wk1	84.0
7	2000	Aaliyah	Try Again	4:03	2000-03-18	wk1	59.0
8	2000	Adams, Yolanda	Open My Heart	5:30	2000-08-26	wk1	76.0
9	2000	Adkins, Trace	More	3:05	2000-04-29	wk1	84.0
10	2000	Aguilera, Christina	Come On Over Baby	3:38	2000-08-05	wk1	57.0
11	2000	Aguilera, Christina	I Turn To You	4:00	2000-04-15	wk1	50.0
12	2000	Aguilera, Christina	What A Girl Wants	3:18	1999-11-27	wk1	71.0
13	2000	Alice Deejay	Better Off Alone	6:50	2000-04-08	wk1	79.0
14	2000	Allan, Gary	Smoke Rings In The D...	4:18	2000-01-22	wk1	80.0
15	2000	Amber	Sexual	4:38	1999-07-17	wk1	99.0
16	2000	Anastacia	I\'m Outta Love	4:01	2000-04-01	wk1	92.0
17	2000	Anthony, Marc	My Baby You	3:59	2000-09-16	wk1	82.0
18	2000	Anthony, Marc	You Sang To Me	3:50	2000-02-26	wk1	77.0
19	2000	A*Teens	Dancing Queen	3:44	2000-07-08	wk1	97.0
20	2000	Avant	My First Love	4:28	2000-11-04	wk1	70.0
21	2000	Avant	Separated	4:13	2000-04-29	wk1	62.0
22	2000	Backstreet Boys, The	Shape Of My Heart	3:49	2000-10-14	wk1	39.0
23	2000	Backstreet Boys, The	Show Me The Meaning ...	3:54	2000-01-01	wk1	74.0
24	2000	Backstreet Boys, The	The One	3:46	2000-05-27	wk1	58.0
25	2000	Badu, Erkyah	Bag Lady	5:03	2000-08-19	wk1	67.0
26	2000	Baha Men	Who Let The Dogs Out	3:17	2000-07-22	wk1	99.0
27	2000	Barenaked Ladies	Pinch Me	3:46	2000-09-09	wk1	77.0
28	2000	BBMak	Back Here	3:35	2000-04-29	wk1	99.0
29	2000	Beenie Man	Girls Dem Sugar	4:17	2000-10-21	wk1	72.0
30	2000	Before Dark	Monica	4:04	2000-05-20	wk1	95.0
31	2000	Bega, Lou	Tricky Tricky	3:23	2000-01-29	wk1	75.0
32	2000	Big Punisher	It\'s So Hard	3:25	2000-04-22	wk1	96.0
33	2000	Black, Clint	Been There	5:28	2000-02-19	wk1	87.0
34	2000	Black Rob	Whoa!	4:04	2000-03-04	wk1	78.0
35	2000	Blaque	Bring It All To Me	3:46	1999-10-23	wk1	73.0
36	2000	Blige, Mary J.	Deep Inside	5:26	1999-11-13	wk1	83.0
37	2000	Blige, Mary J.	Give Me You	5:00	2000-04-15	wk1	97.0
38	2000	Blink-182	All The Small Things	2:52	1999-12-04	wk1	89.0
39	2000	Bloodhound Gang	The Bad Touch	4:20	2000-03-18	wk1	70.0
40	2000	Bon Jovi	It\'s My Life	3:44	2000-08-12	wk1	64.0
41	2000	Braxton, Toni	He Wasn\'t Man Enough	4:21	2000-03-18	wk1	63.0
42	2000	Braxton, Toni	Just Be A Man About ...	4:10	2000-07-29	wk1	76.0
43	2000	Braxton, Toni	Spanish Guitar	4:24	2000-12-02	wk1	98.0
44	2000	Brock, Chad	A Country Boy Can Su...	3:54	2000-01-01	wk1	93.0
45	2000	Brock, Chad	Yes!	3:22	2000-04-08	wk1	90.0
46	2000	Brooks & Dunn	You\'ll Always Be Lov...	2:58	2000-06-10	wk1	95.0
47	2000	Brooks, Garth	Do What You Gotta Do	2:56	2000-02-19	wk1	86.0
48	2000	Byrd, Tracy	Put Your Hand In Min...	4:30	2000-01-29	wk1	81.0
49	2000	Cagle, Chris	My Love Goes On And ...	3:02	2000-10-21	wk1	99.0
50	2000	Cam\'ron	What Means The World...	4:38	2000-10-14	wk1	94.0
51	2000	Carey, Mariah	Crybaby	5:19	2000-06-24	wk1	28.0
52	2000	Carey, Mariah	Thank God I Found Yo...	4:14	1999-12-11	wk1	82.0
53	2000	Carter, Aaron	Aaron\'s Party	3:23	2000-08-26	wk1	99.0
54	2000	Carter, Torrey	Take That	3:43	2000-06-24	wk1	94.0
55	2000	Changing Faces	That Other Woman	4:00	2000-09-30	wk1	80.0
56	2000	Chesney, Kenny	I Lost It	3:54	2000-10-21	wk1	75.0
57	2000	Chesney, Kenny	What I Need To Do	4:05	2000-04-01	wk1	79.0
58	2000	Clark Family Experience	Meanwhile Back At Th...	2:56	2000-11-18	wk1	87.0
59	2000	Clark, Terri	A Little Gasoline	3:07	2000-12-16	wk1	75.0
60	2000	Common	The Light	3:55	2000-08-05	wk1	75.0
61	2000	Counting Crows	Hanginaround	4:07	1999-11-06	wk1	84.0
62	2000	Creed	Higher	5:16	1999-09-11	wk1	81.0
63	2000	Creed	With Arms Wide Open	3:52	2000-05-13	wk1	84.0
64	2000	Cyrus, Billy Ray	You Won\'t Be Lonely ...	3:45	2000-09-23	wk1	97.0
65	2000	Da Brat	That\'s What I\'m Look...	3:44	2000-02-26	wk1	93.0
66	2000	Da Brat	What\'Chu Like	3:57	2000-06-03	wk1	71.0
67	2000	D\'Angelo	Left & Right	4:35	1999-12-11	wk1	93.0
68	2000	D\'Angelo	Untitled	7:10	2000-01-22	wk1	77.0
69	2000	Davidson, Clay	Unconditional	3:56	2000-03-25	wk1	97.0
70	2000	De La Soul	All Good?	5:02	2000-12-23	wk1	96.0
71	2000	Destiny\'s Child	Independent Women Pa...	3:38	2000-09-23	wk1	78.0
72	2000	Destiny\'s Child	Jumpin\' Jumpin\'	3:48	2000-05-13	wk1	74.0
73	2000	Destiny\'s Child	Say My Name	4:31	1999-12-25	wk1	83.0
74	2000	Diffie, Joe	It\'s Always Somethin...	2:55	2000-08-12	wk1	81.0
