Temperature (deg F),Dew Point (deg F),Pressure (atm)
79,70.8,1
77.4,71.2,1
76.4,71.3,1
75.7,71.4,1
75.1,71.4,1
74.6,71.3,1
74.5,71.3,1
76,72.3,1
79.8,72.8,1
83.3,72.1,1
86.6,71.1,1
89.3,70.2,1
91.6,69.1,1
93.2,68.4,1
94.4,67.6,1
95,67.1,1
94.8,66.8,1
93.9,66.9,1
92.4,66.7,1
89.9,67.7,1
86.1,68.6,1
83.6,69.5,1
81.8,70.3,1
80,70.7,1
79.1,70.8,1
77.4,71.2,1
76.5,71.3,1
75.8,71.4,1
75.2,71.5,1
74.6,71.4,1
74.6,71.3,1
76.1,72.3,1
79.8,72.8,1
83.3,72.1,1
86.5,71.1,1
89.4,70.1,1
91.6,69.1,1
93.2,68.3,1
94.4,67.6,1
95,67,1
94.8,66.7,1
93.9,66.8,1
92.4,66.6,1
89.8,67.7,1
86.1,68.5,1
83.6,69.4,1
81.8,70.2,1
80.1,70.7,1
79.1,70.8,1
77.5,71.2,1
76.5,71.3,1
75.8,71.4,1
75.2,71.4,1
74.6,71.3,1
74.5,71.3,1
76,72.3,1
79.8,72.8,1
83.4,72.2,1
86.6,71.1,1
89.4,70.1,1
91.7,69.1,1
93.3,68.3,1
94.5,67.5,1
95.1,67,1
94.9,66.7,1
94.1,66.8,1
92.5,66.5,1
89.8,67.6,1
86,68.6,1
83.5,69.4,1
81.9,70.2,1
80.1,70.6,1
79.2,70.8,1
77.6,71.1,1
76.6,71.3,1
75.9,71.4,1
75.3,71.4,1
74.7,71.3,1
74.6,71.2,1
76,72.3,1
79.9,72.8,1
83.5,72.1,1
86.7,71,1
89.5,70.1,1
91.9,69.1,1
93.4,68.3,1
94.6,67.5,1
95.1,67,1
95,66.7,1
94.1,66.8,1
92.5,66.6,1
89.7,67.7,1
86,68.6,1
83.5,69.4,1
81.9,70.1,1
80.2,70.6,1
79.2,70.7,1
77.6,71.1,1
76.6,71.3,1
75.9,71.4,1
75.3,71.4,1
74.7,71.3,1
74.6,71.2,1
76.1,72.2,1
79.8,72.8,1
83.4,72.2,1
86.6,71.1,1
89.5,70.1,1
91.9,69.1,1
93.4,68.3,1
94.5,67.6,1
95.1,67,1
94.9,66.7,1
94.1,66.9,1
92.4,66.6,1
89.6,67.7,1
85.9,68.6,1
83.4,69.4,1
81.8,70,1
80.1,70.5,1
79.2,70.7,1
77.6,71.1,1
76.6,71.2,1
75.9,71.3,1
75.3,71.3,1
74.6,71.2,1
74.6,71.1,1
76,72.1,1
79.7,72.7,1
83.4,72.1,1
86.6,71.1,1
89.5,70.1,1
91.8,69,1
93.4,68.3,1
94.5,67.6,1
95.2,67,1
95,66.7,1
94.1,66.8,1
92.5,66.6,1
89.6,67.6,1
85.9,68.5,1
83.4,69.3,1
81.8,69.9,1
80,70.5,1
79.2,70.6,1
77.5,71,1
76.5,71.2,1
75.8,71.3,1
75.2,71.3,1
74.6,71.1,1
74.6,71,1
76,72.1,1
79.7,72.7,1
83.3,72.2,1
86.5,71.1,1
89.4,70.1,1
91.8,69.1,1
93.4,68.4,1
94.5,67.6,1
95.3,67,1
95,66.7,1
94.1,66.9,1
92.4,66.7,1
89.5,67.7,1
85.8,68.7,1
83.3,69.4,1
81.7,69.9,1
80,70.5,1
79.2,70.6,1
77.5,71,1
76.5,71.2,1
75.8,71.3,1
75.2,71.3,1
74.6,71,1
74.6,71,1
75.9,72.1,1
79.7,72.7,1
83.3,72.2,1
86.5,71.2,1
89.4,70.2,1
91.7,69.2,1
93.3,68.5,1
94.5,67.7,1
95.2,67.2,1
94.9,66.8,1
94.1,66.9,1
92.4,66.7,1
89.5,67.8,1
85.7,68.7,1
83.3,69.4,1
81.7,69.9,1
80,70.5,1
79.2,70.6,1
77.5,71,1
76.5,71.2,1
75.8,71.3,1
75.2,71.2,1
74.6,71,1
74.6,71,1
75.9,72.1,1
79.7,72.7,1
83.3,72.2,1
86.4,71.2,1
89.4,70.3,1
91.7,69.2,1
93.3,68.6,1
94.5,67.8,1
95.2,67.2,1
94.9,66.9,1
94.1,67,1
92.2,66.8,1
89.3,67.8,1
85.6,68.7,1
83.2,69.4,1
